autor_original	autor_normalizado
Aaxodius (Petrus)	Aaxodius (Pedro)
Abadie (M. r Jacques)	Abadie (Jacobo)
Abami (Petri)	Abami (Pedro)
Abarca (P. Pedro)	Abarca (P Pedro)
Abaunza (D. n Petride)	Abaunza (Petride)
Abela (Francisco)	Abela (Francisco)
Abella (D. n Antonio Joseph de)	Abella (Antonio Joseph de)
Aben David Alsa Hagii (Mahumet)	Aben David Alsa Hagii (Mahumet)
Abensalexo (Pasqual de)	Abensalexo (Pasqual de)
Abreu (Luis de)	Abreu (Luis de)
Abreu y Berdano (D. Felix)	Abreu y Berdano (D Felix)
Abreu y Berdano (D. Joseph Antonio)	Abreu y Berdano (D Joseph Antonio)
Abril (Pedro Simon)	Abril (Pedro Simon)
Acciojoli (Anton Francisco)	Acciojoli (Anton Francisco)
Acebedo (Luis Alazino de)	Acebedo (Luis Alazino de)
Acevedo (Lazaro Gonzalez)	Acevedo (Lazaro Gonzalez)
Achenwall (Goter)	Achenwall (Goter)
Achmetis (Fr. Felix)	Achmetis (Fr Felix)
Acosta (Christobal)	Acosta (Christobal)
Acosta (Jan)	Acosta (Jan)
Acosta (P. Joseph)	Acosta (P Joseph)
Acuña (P. Christoval)	Acuña (P Christoval)
Adan... (D. Vicente)	Adan (D Vicente)
Aedo... y Guillat (D. Diego de)	Aedo y Guillat (D Diego de)
Aelianus (Claudius)	Aelianus (Claudius)
Aemilius (Paul)	Aemilius (Paul)
Afan de Rivera (D.ª Fulgenio)	Afan de Rivera (Fulgenio)
Afanca, y Mendoza (Joseph)	Afanca y Mendoza (Joseph)
Africanus (Chorippi)	Africanus (Chorippi)
Agostino (Francisco)	Agostino (Francisco)
Agreda (D. Diego)	Agreda (D Diego)
Agreda (María Jesús de)	Agreda (María Jesús de)
Agricola (Georgius)	Agricola (Jorge)
Agricola (Rodolphus)	Agricola (Rodolphus)
Aguar (Juan de)	Aguar (Juan de)
Aguayo (D. Juan de Castilla)	Aguayo (D Juan de Castilla)
Aguenza (D. Pedro)	Aguenza (D Pedro)
Aguiarre (Michaelis)	Aguiarre (Miguel)
Águila (D. D. Pedro)	Águila (D D Pedro)
Aguilar (Conde de)	Aguilar
Aguilar (D. Manuel Benito Fiel)	Aguilar (D Manuel Benito Fiel)
Aguilar (Fr. Thomas)	Aguilar (Fr Tomás)
Aguileza (Fr. Joseph)	Aguileza (Fr Joseph)
Aguileza (Joa)	Aguileza (Joa)
Aguilon (Pedro a)	Aguilon (Pedro a)
Aguirre (D. Diego)	Aguirre (D Diego)
Aguirre (Josef Saenz)	Aguirre (Josef Saenz)
Aguirre (P. Joaquin)	Aguirre (P Joaquin)
Aiora (D. Antonius)	Aiora (D Antonio)
Aitzmeza (León)	Aitzmeza (León)
Ajofrín (Fr. Francisco de)	Ajofrín (Fr Francisco de)
Alaba, y Viaront (D. Diego de)	Alaba y Viaront (D Diego de)
Alagón (D. Antal Conde de Santiago)	Alagón (D Antal de Santiago)
Alarcón (D. Antonio Suárez de)	Alarcón (D Antonio Suárez de)
Alava et Eguivel (D. Didacus)	Alava et Eguivel (D Didacus)
Albanus (Jo Hieron.)	Albanus (Jo Hieron.)
Alberti, Florentin (Leon Bautista)	Alberti Florentin (Leon Bautista)
Albertinus (Arnaldus)	Albertinus (Arnaldus)
Albienis (Petri Gillii)	Albienis (Pedro Gillii)
Albornoz (Card.)	Albornoz (Card.)
Albornoz (D. Diego)	Albornoz (D Diego)
Alburquerque (Alfonso)	Alburquerque (Alfonso)
Alburquerque Coello (Duarte)	Alburquerque Coello (Duarte)
Alburquerque (Francisco de)	Alburquerque (Francisco de)
Alcagniciense (F. Thomas)	Alcagniciense (F Tomás)
Alcazar (D. Melchor)	Alcazar (D Melchor)
Alcazar (P. Bartolomei)	Alcazar (P Bartolomei)
Alcedo (D. Antonio)	Alcedo (D Antonio)
Alcedo (Dn Dionisio)	Alcedo (Dn Dionisio)
Alciati (Andreae)	Alciati (Andreae)
Alcocer (Dn Fran.)	Alcocer (Dn Fran.)
Alcocer (Fr Juan)	Alcocer (Juan)
Alcocer (Pedro)	Alcocer (Pedro)
Aldana (Cosme de)	Aldana (Cosme de)
Aldebrandini (Cardinalis)	Aldebrandini (Cardinalis)
Alderete (D. Bernardo)	Alderete (D Bernardo)
Alderete (D. D. Bernardo)	Alderete (D D Bernardo)
Alea (P. Miguel Benoz)	Alea (P Miguel Benoz)
Alegambi (Philippi)	Alegambi (Felipe)
Aleman (Matheo)	Aleman (Matheo)
Alemanni (Séni)	Alemanni (Séni)
Alexandri (S. Natalis)	Alexandri (S Natalis)
Alexandro (Alexandri ab)	Alexandro (Alexandri ab)
Alfano (D. Franciscus)	Alfano (D Francisco)
Alfonsi (Petri)	Alfonsi (Pedro)
Allatius (Leonis)	Allatius (Leonis)
Almeida (D. Manuel)	Almeida (D Manuel)
Almeida (P. Theodoro)	Almeida (P Theodoro)
Almici (Joa-Dapt.)	Almici (Joa-Dapt.)
Almonacid (Fr. Joseph de)	Almonacid (Fr Joseph de)
Alsedo y Herrera (Dn Dionisio)	Alsedo y Herrera (Dn Dionisio)
Altamixani (D.D. Jo)	Altamixani (D Jo)
Altamuxa (F. Ambrosii)	Altamuxa (F Ambrosii)
Altansixani (Dn Hieronimi)	Altansixani (Dn Hieronimi)
Alteserra (Antonii Dadini)	Alteserra (Antonio Dadini)
Alva ... (Fr. Pedro de)	Alva (Fr Pedro de)
Alva (Francisci Isidor)	Alva (Francisco Isidor)
Alvaredo (Didacus Rodericus)	Alvaredo (Didacus Rodericus)
Alvaredo (Dn. Francisco)	Alvaredo (Dn Francisco)
Alvaredo (Dn. Mario Bibiano de)	Alvaredo (Dn Mario Bibiano de)
Alvarez... Correa (Dn Luis)	Alvarez Correa (Dn Luis)
Alvarez de Abreu (Dn Antonio Joseph)	Alvarez de Abreu (Dn Antonio Joseph)
Alvarez de Acosta (To.)	Alvarez de Acosta (To.)
Alvarez de Lugo (D. Pedro)	Alvarez de Lugo (D Pedro)
Alvarez de Oriente (Fernao)	Alvarez de Oriente (Fernao)
Alvarez de Selano (D. Gabriel)	Alvarez de Selano (D Gabriel)
Alvarez de Toledo (D. Gabriel)	Alvarez de Toledo (D Gabriel)
Alvarez (Dn Fran.co)	Alvarez (Dn Fran.co)
