id,propietario,fecha,num_obras
bdlrdp0000,"Ramírez de Prado,  Lorenzo",1662,8951
modesa0000,Monasterio de San Martín,1788,7119
bddsac0000,"Sarmiento Acuña,  Diego, conde de Gondomar",+1626,6471
bdltad0000,Biblioteca de la Torre Alta del Alcázar,1637,2012
cajldl0000,"Cerda, Antonio Juan Luis de la, VII duque de Medinaceli",1673,1474
bidela0000,"Lastanosa, Vincencio Juan de",1662,974
afdddc0000,"Aragón, Fernando de, duque de Calabria",1550,793
fpdodc0000,"Frago, Pedro del, obispo de Cuenca",1584,740
oavmda0000,"Osorio, Alonso, VII marqués de Astorga. Inventario A",1573,707
inmede0000,"Mendoza, Mencía de","1553, 1562",616
ddvymr0000,"Díaz de Vivar y Mendoza, Rodrigo, I Marqués del Cenete",1523,582
idldrc0000,"Caro, Rodrigo",1647,530
crjuim0000,"Cromberger, Juan, impresor",1540,525
bdodla0000,"Garza Falcón, Joseph Manuel de la, oidor de la Audiencia de la Nueva Galicia",1763,514
bbmdal0000,"Barrientos, Bartolomé, maestro de artes liberales",1576,492
oavmda0001,"Osorio, Alonso, VII marqués de Astorga. Inventario B",1589,354
siabpe0000,"Simón Abril, Pedro",+1595,333
lbdmdp0000,"Fernández de Córdoba, Pedro, marqués de Priego",1518,268
edrfim0000,"Enríquez de Ribera, Fadrique, I marqués de Tarifa",1532,221
vifede0000,"Villalba, Felipa de",1626,216
qufrde0000,"Quevedo, Francisco de",1647,189
ingade0000,Inca Garcilaso de la Vega,+1616,188
fadybi0000,"Arias Dávila y Bobadilla, Francisco, IV conde de Puñonrostro",1610,182
moarde0000,"Argote de Molina, Gonzalo",+1596,166
velazq0000,"Velázquez, Diego",1660,154
ldfjid0000,"López de Fuentesdaño, Juan, inquisidor de Valladolid",1631,152
lbdadb0000,"Barros, Alonso de",+1604,151
vjadr10000,"Villasinda, Juan Alonso de, relator",1631,141
gdsrid0000,"Gómez de Silva, Ruy, III duque de Pastrana",1626,94
mbd1410000,"Mendoza, Bernardino de",+1604,79
sjccds0000,"Schomburg, Juan Carlos, conde de Schomburg",1640,79
rvaiyb0000,"Brizuela, Mateo de",-1557,74
bdccad0000,"Rojas, Antonio de, caballero cristiano",1556,64
dhdmic0000,"Hurtado de Mendoza, Diego, I conde de Mélito",1536,60
ceobdc0000,"Castro Enríquez Osorio, Beatriz de, condesa de Lemos",1570,48
elgrec0000,"Theotokópoulos, Doménikos, el Greco",1614,47
rgdspd0000,"Gómez de Silva, Ruy, príncipe de Éboli y I duque de Pastrana",1573,40
rdltfs0000,"Rodríguez de la Torre, Francisco, secretario del rey Carlos II",1699,31
rdsymi0000,"Silva y Mendoza, Rodrigo de, II duque de Pastrana",1596,31
