Volumen,Filename,Fila,Transcripcion,Precio,Observaciones,Salto De Pagina
1,pagina_0010-OCR.json,1,Abadie (M. r Jacques) Traité de la vérité de la Religion chrétienne 8º 4 tomos La Haye 1771 Nº 162 40,40,,FALSO
1,pagina_0010-OCR.json,2,Abami (Petri) Conciliator controversiarum quæ inter Philosophos et Medicos versantur fol. Venetiis 1548 Nº 11. Past 45,45,,VERDADERO
1,pagina_0010-OCR.json,3,Abarca (P. Pedro) Anales de los Reyes de Aragón fol. Madrid 1682 Nº 141 2 tomos 60,60,,VERDADERO
1,pagina_0010-OCR.json,4,Abaunza (D. n Petride) Commentarius ad tit. de Sagittariis 4º Hispani 1627 Nº 271 6,6,,VERDADERO
1,pagina_0010-OCR.json,5,"Abecedario General de los privilegios, y concordias del Consejo de la Mesta fol. 1629 Nº 287 6",6,,VERDADERO
1,pagina_0010-OCR.json,6,Abela (Francisco) Descrizione di Malta fol. in Malta 1647 illuminata da figuras Nº 53 90,90,,VERDADERO
1,pagina_0010-OCR.json,7,Abella (D. n Antonio Joseph de) Geometría especulativa de Euclides 4º Zaragoza 1723 Nº 40 18,18,,VERDADERO
1,pagina_0010-OCR.json,8,"Abensalexo (Pasqual de) Arithmetica para las dificultades, y advertencias a los pesos, y medidas 4º Zaragoza Nº 40 8  N.º 124",8,,VERDADERO
1,pagina_0011-OCR.json,1,Abrege Chronologique de l'histoire des Empereurs: 12° 2tom. Paris 1753 Nº 124 1609 18,18,,FALSO
1,pagina_0011-OCR.json,2,Abrege Des Commentaires de Mr. de Folard sur l'histoire de Polybe 4° Pasta 3tom. fig. Paris 1754 Nº 302 Nº 92 28,28,,VERDADERO
1,pagina_0011-OCR.json,3,Aben David Alsa Hagii (Mahumet) Grammatica Arabica. 4° Roma 1592 Nº 139 18,18,,VERDADERO
1,pagina_0011-OCR.json,4,Abreu y Berdano (D. Joseph Antonio) De xecho publico 8° 2tom. Madrid 1746 Nº 5 12,12,,VERDADERO
1,pagina_0011-OCR.json,5,"Abreu y Berdano 15 tratados de paz de España en los Reynados de Carlos 2°, Felipe 2° y Felipe 4° fol. 12 tomos. Madrid desde el 1746 al 1760. Nº 306 384",384,,VERDADERO
1,pagina_0011-OCR.json,6,Abreu y Berdano (D. Felix) Tratado juxi-dico-politico sobre la preva de Mar: 4° Cadiz 1746. Nº 189 16,16,,VERDADERO
1,pagina_0011-OCR.json,7,Abreu (Luis de) Avisos pexaopaco 8° Lisboa 1659. Nº 71 6,6,,VERDADERO
1,pagina_0011-OCR.json,8,Abril (Pedro Simon) Gramatica Griega escrita en lengua castellana: 8° Madrid 1587. Nº 126 10,10,,VERDADERO
1,pagina_0011-OCR.json,9,Abril (Pedro Simon) 15 apuntamientos de como se deben reformar las doctrinas. 8° Madrid 1769. Nº 114 4,4,,VERDADERO
1,pagina_0011-OCR.json,10,Ejusd. Introductionis ad libros logicorum Aristotelis libri duo: 12° Fudel 1572. Atado 17 6,6,,VERDADERO
1,pagina_0011-OCR.json,11,Ejusd. Gramatica latina 8° Paut. Matriti 1769. Nº 137 8,8,,VERDADERO
1,pagina_0012-OCR.json,1,Idem in Arte Grammatica 8° 1769 137 6,6,,FALSO
1,pagina_0012-OCR.json,2,Idem Modo a reformar los Estudios 8° Madrid 1789. N° 111. 6,6,,VERDADERO
1,pagina_0012-OCR.json,3,Academia Poetica 4° Madrid 1674. N° 33. 6,6,,VERDADERO
1,pagina_0012-OCR.json,4,Acciojoli (Anton Francisco) Regole ó osservazione di vari Autore intorno à la Lingua toscana: 8° Firenze 1715. N° 118. 6,6,,VERDADERO
1,pagina_0012-OCR.json,5,Acebedo (Luis Alazino de) Exclamaciones políticas en Portugal: 4° Lisboa 1645. N° 307. 6,6,,VERDADERO
1,pagina_0012-OCR.json,6,"Achenwall (Goter) Jus Naturale complectens jus familie publicum, et gentium: 8° 3 tom. Rost. Soetingae 1781. N° 316. 22",22,,VERDADERO
1,pagina_0012-OCR.json,7,Achmetis (Fr. Felix) Oratio critica Graeco-latine 4° 1660. N° 79. 18,18,,VERDADERO
1,pagina_0012-OCR.json,8,Acosta (Christobal) Tratado de las Drogas y Medicinas de las Indias 4° Burgos 1578. N° 27. 36,36,,VERDADERO
1,pagina_0012-OCR.json,9,Acosta (Christobal) Tratado en loor de las imágenes 4° Pasta Venecia 1592. N° 230. 20,20,,VERDADERO
1,pagina_0012-OCR.json,10,Acosta (P. Joseph) Historia natural de Indias 4° Madrid 1589. N° 6. 30,30,,VERDADERO
1,pagina_0012-OCR.json,11,Acosta (P. Joseph) De procuranda Indorum salute 8° Salamanca 1589. N° 73. 14,14,,VERDADERO
1,pagina_0012-OCR.json,12,Acosta (Jan) Commentarii in institutiones Imperatorii Justiniani cum annotationibus (mibiu.),,,VERDADERO
1,pagina_0013-OCR.json,1,mbus Maxulii aliorum R.4° 1.165 Lugdun Batavorum 1744 №224,45,,FALSO
1,pagina_0013-OCR.json,2,Yd. Commenta in Decretales Greg. IX.4° Pasta Lutetis Parisiorum 1679. №279 45,45,,VERDADERO
1,pagina_0013-OCR.json,3,Acta A.S. P. A. Domino N. Pio VI. 4° fig. Roma 1762. №230 50,50,,VERDADERO
1,pagina_0013-OCR.json,4,"Acta Conciliorum, et Epistola Decret. per PP. Philippum Labcum et Gabriellem Conartium Sueco Latinae fol. mai. 11 tom. 18 vol. Paris 1715. №274 Pasta 1500",1500,,VERDADERO
1,pagina_0013-OCR.json,5,Acta Exeditorum Lipsiensum 4° 2 Tom. fig. 1741 №56 90,90,,VERDADERO
1,pagina_0013-OCR.json,6,Acuña (P. Christoval) Nuevo descubrimiento del Rio de las Amazonas. 4° Pasta una Vid. 1641 №212 12,12,,VERDADERO
1,pagina_0013-OCR.json,7,Adan... (D. Vicente) Respuesta gratulatoria a D. Anacleto de Leta: 8° Madrid 1787. №214 2,2,,VERDADERO
1,pagina_0013-OCR.json,8,Additiones ad Molinani fol. Matriti 1680. №296 15,15,,VERDADERO
1,pagina_0013-OCR.json,9,Adoratio ad Illm. Principem Carolum V. Imperatorem 12° Antuerpiae 1542. №147 10,10,,VERDADERO
1,pagina_0013-OCR.json,10,Adiani Scena Rerum 8° Antucap. 1556. №6 8,8,,VERDADERO
1,pagina_0013-OCR.json,11,Adiani Serti Pontifici Questiones quodlibeticæ ex Bixardo auctore: 8° Pasta Lugdun 1546. №118 6,6,,VERDADERO
1,pagina_0013-OCR.json,12,Advertencias que dan los Catolicos Ingleses á los 2.908,,,VERDADERO
1,pagina_0014-OCR.json,1,"Catolicos a Francia, sobre el peligro en que estan de perder la Religion, si admite nala Corona Principe herege. Traducidas del Frances al Castellano por D. Felix de Guzman Madrid 1692. Atado 25.",6,,FALSO
1,pagina_0014-OCR.json,2,Aedo... y Guillat (D. Diego de) Viaje del Infante Cardenal D. Fernando a Asturias Amberes 1635. N° 134. 18,18,,VERDADERO
1,pagina_0014-OCR.json,3,Aelianus (Claudius) De Historia animalium Lugo 1562. N° 147. 8,8,,VERDADERO
1,pagina_0014-OCR.json,4,Ejusd. Variae Historiae cum notis Schefleri Graeco-latine Argentorati 1662. N° 90 Pasta  blanca. 24,24,,VERDADERO
1,pagina_0014-OCR.json,5,Ejusdem id: graece Salmanitae 1555. N° 38. 15,15,,VERDADERO
1,pagina_0014-OCR.json,6,Aemilius (Paul) De rebus gestis Francorum fol. Parisiis 1544. N° 119. 36,36,,VERDADERO
1,pagina_0014-OCR.json,7,Hemsterdamii (Alardy) Similitudines in sacris Bibliis Lugo 1543. N° 83. 8,8,,VERDADERO
1,pagina_0014-OCR.json,8,"Aaxodius (Petrus) De origine et autoritate rerum judicatarum, atque quaestionum juris civilis Parisiis 1573. N° 237. 6",6,,VERDADERO
1,pagina_0014-OCR.json,9,Ejusd. id: fol. Coloniae Allobrogum 1677. N° 243. 30,30,,VERDADERO
1,pagina_0014-OCR.json,10,"Aeschylus Poetae tragicae, ex greco in latinum versa à Joa. Sarabio 8° Paris. Basilea 1555 Atado 13",6,,VERDADERO
1,pagina_0015-OCR.json,1,"Ejusd. Sophoclis, et Euripidis Tragœdiæ selectæ cum duplici interpret. latina 16.° Pasta blanc. London 1567. Atado 7. 1567 16.° 10",10,,FALSO
1,pagina_0015-OCR.json,2,Aesopi Fabulæ aliquot græcæ 8.° Antuerpiæ 1581. Atado 12. 1581 8.° 4,4,,VERDADERO
1,pagina_0015-OCR.json,3,"Ejusd. Eæd. græce, et latine 8.° Basileæ 1544. N.º 5. 1544 8.° 12",12,,VERDADERO
1,pagina_0015-OCR.json,4,Ejusd. Traducidas al Castellano por Simon Abril 8.° Valencia 1760. N.º 4. 1760 8.° 4,4,,VERDADERO
1,pagina_0015-OCR.json,5,Ejusd. Por el Infante D.ª Enríquez fol. Sevilla 1538. N.º 10. 1538 fol. 30,30,,VERDADERO
1,pagina_0015-OCR.json,6,Ejusd. En verso Castellano por Cepeda 8.° Sevilla 1590. N.º 2. 1590 8.° 8,8,,VERDADERO
1,pagina_0015-OCR.json,7,"Afan de Rivera (D.ª Fulgenio) Virtud al uso, y Mistica ala moda 8.° Pasta blanc. mad. 1794. N.º 158. 1794 8.° 4",4,,VERDADERO
1,pagina_0015-OCR.json,8,Afoismi Polítici raccolti dall’Historia del Risaccone 4.° Lecce 1661. N.º 236. 1661 4.° 6,6,,VERDADERO
1,pagina_0015-OCR.json,9,"Afanca, y Mendoza (Joseph) El discreto tertuliano 8.° primera parte. Mad. 1759. Atado 31. 1759 8.° 4",4,,VERDADERO
1,pagina_0015-OCR.json,10,Afi — Optati De schismate Donatistarum ad versus Parmenium Trat. 8.° Parisiis 1569. N.º 262. 1569 8.° 4,4,,VERDADERO
1,pagina_0015-OCR.json,11,Africanus (Chorippi) De Laudibus Justini Augusti minoris. lib. 8.° Anverpie 1581. N.º 2. lib. 8.° Anverpie 1581. N.º 2. 1581 8.° 12,12,,VERDADERO
1,pagina_0015-OCR.json,12,"Agathia De imperio, et rebus gestis Justiniani græco et latine 4.° Lugd. Batav. 1594. N.º 77. 1594 4.° 30",30,,VERDADERO
1,pagina_0016-OCR.json,1,Agostino (Francisco) Catologo di Scrittori Piemontesi 4º Turino 1614 56 8,8,,FALSO
1,pagina_0016-OCR.json,2,Agreda (María Jesús de) Sus obras 3 fol. 1670 107 120,120,,VERDADERO
1,pagina_0016-OCR.json,3,"Agreda (D. Diego) Historia de Europa, y Círculo fonte 12º 1617 Atado 17 3",3,,VERDADERO
1,pagina_0016-OCR.json,4,"Agricola (Georgius) De mensuris, et ponderibus Romanorum fol. Basilea 1580 Nº 1 Pasta 36",36,,VERDADERO
1,pagina_0016-OCR.json,5,Agricola (Georgius) Ejusd. id. Venet. 8º 1535 80 6,6,,VERDADERO
1,pagina_0016-OCR.json,6,Agricola (Georgius) id. de re metallica fol. Basilea 1561 1 75,75,,VERDADERO
1,pagina_0016-OCR.json,7,Agricola (Georgius) id. de subterraneis Ibid 1546 Nº 1. Pasta 45,45,,VERDADERO
